River ID,River name,Latitude,Longitude,Country,Region,Continent,Ocean Basin,"Monthly discharge (Qm) 
(m3/s)",interannual mean discharge (Qa=ΣQm / 12) (m3/s),enviromental discharge (Qe=Qa*0.3) (m3/s),Extraction Factor (EF),"Design flow  (Qd=Qa*EF) 
(m3/s)","Extractable discharge (Qex_m) (m3/s)
Extractable discharge depends on the monthly discharge (Qm), the environmental discharge (Qe), and the design flow (Qd).","Actual extractable water volume per year (Qreal=ΣQex_m) 
(m3/s)","Capacity factor (CF=Qreal/Qideal) 
(%)",Jan_Pot,Feb_Pot,Mar_Pot,Apr_Pot,May_Pot,Jun_Pot,Jul_Pot,Aug_Pot,Sep_Pot,Oct_Pot,Nov_Pot,Dec_Pot
11,Tocantins,-1.53968507607143,-48.87838848566,Brazil,South America,South America,South Atlantic Ocean,13302.817,10677.527566666666,3203.25827,2.0,213.5505513333333,213.55055,2562.6066,99.99999937563572,24405.095694596672,34403.46993129555,41771.548557729075,40597.07051691501,31682.13601657036,16004.482739312683,10442.37394825194,8618.265503880912,7768.06313586996,7974.936304323755,11040.076592493235,17657.145870758173
12,Ob,66.4530326843283,71.0050406517122,Russia,Asiatic Russia,Asia,Arctic Ocean,4878.6313,12851.319841666666,3855.3959525,13.0,1670.6715794166666,1023.2354,14682.430469999998,73.23616966820077,8029.431822352483,7518.72089250342,6821.841666320729,6816.923577319405,30686.214242666436,62820.470711993345,53140.025427503635,38965.76795303751,25078.802435452682,19102.234174040488,12069.86276779062,10033.976646403044
13,Ganges (Ganga),21.9543860598704,89.514307285256,Bangladesh,Southern Asia,Asia,Indian Ocean,2802.7415,11858.400116666664,3557.520034999999,26.0,3083.184030333333,0.0,16010.947069999998,43.27492540308784,4757.407327073319,4159.751421775547,3545.9456248618317,3277.049818153371,3638.2298362885585,6860.181797195689,40756.887339179666,71918.6497338025,66415.61567872437,32899.42515319363,12608.246299676362,6935.910270557586
14,Irrawaddy (Ayey,15.8264715960959,95.0916052783884,Myanmar,Southeastern Asia,Asia,Indian Ocean,2526.0557,8136.959266666666,2441.08778,13.0,1057.8047046666666,84.968018,9546.233008,75.20475318589321,4466.334986599344,3846.0352882560524,4630.3664539039655,6990.218919253204,8538.004810362094,17850.649695918168,29980.422224074784,31589.089948246507,31815.68986384132,23066.971186390245,9857.793170394782,6048.507094894093
15,St Lawrence,49.104303522315,-67.548168188021,Canada,Northern America,North America,North Atlantic Ocean,7742.1392,9032.495433333332,2709.74863,55.0,4967.872488333333,4967.8721,59614.4652,99.99999218310587,14483.79889668137,15190.871141764712,15028.151404108872,18585.980185122797,21460.751806692617,17512.895976287327,15665.15649509006,14813.855493703786,14900.69331725685,15084.703170338638,15011.241357061162,14394.978432053735
16,Amur,52.9908836903171,141.019759255177,Russia,Asiatic Russia,Asia,North Pacific Ocean,1841.8606,10083.3278,3024.99834,100.0,10083.3278,0.0,64192.39649999999,53.05159646798351,3408.270360696762,2078.340308506448,2286.598074437193,7922.3382294291505,28275.101316607328,31722.428812689588,30111.888888455316,35141.54001573183,36215.71093780003,27146.529727047033,9856.626210020764,4368.354339777754
17,Mackenzie,69.3474770685121,-135.58562551451,Canada,Northern America,North America,Arctic Ocean,4122.2432,9091.477575,2727.4432725,7.0,636.40343025,636.40344,7636.841280000001,100.00000153204704,7171.847788701092,6309.3785780790395,5901.651996836188,5864.880988973969,22813.95899296418,31570.132617893312,26018.065606421642,20013.783943462215,16996.306476222115,14177.180737940262,8265.9682033482,6144.063452209657
18,Xijiang,22.0727518438016,113.467937003929,China,Eastern Asia,Asia,South China and Easter Archipelagic Seas,1746.3829,6924.272208333335,2077.2816625000005,22.0,1523.3398858333337,0.0,12457.745219999995,68.14929778012664,3168.3052821833107,3274.187513472266,4045.6445371785308,8300.636320551146,16206.248210981768,24698.569916901026,28934.552909198945,26090.900089489165,16465.027929281758,10164.181224395803,7030.921417521124,4220.230638290353
19,Columbia,46.2428671658079,-123.970962842188,United States,Northern America,North America,North Pacific Ocean,5404.4692,6130.262291666667,1839.0786875,25.0,1532.5655729166667,1532.5656,18390.7872,100.0000017671892,9585.27222137485,9161.275622992402,9703.297555221641,11811.89343082999,17243.231016621405,20777.05469215293,14284.14073839511,8715.14352462514,6556.604450076288,6283.765872925744,7723.415311726294,9107.802452314703
20,Magdalena,11.097718487471,-74.8485267492985,Colombia,South America,South America,North Atlantic Ocean,5308.9263,7129.682616666666,2138.904785,29.0,2067.607958833333,2067.6079,24811.294799999992,99.9999971545218,10855.08754180498,8891.506289980347,9517.006983016034,12696.226290581935,15098.536444671283,15517.951606452416,15193.152771422621,14807.787856821558,16078.87959138865,18515.374597157344,19358.75886276977,15883.962724053268
